2008-06-12,3.7391
2008-06-15,3.74
2008-06-16,3.74
2008-06-17,3.74
2008-06-18,3.7393
2008-06-19,3.7391
2008-06-22,3.74
2008-06-23,3.74
2008-06-24,3.74
2008-06-25,3.739
2008-06-26,3.7392
2008-06-29,3.7398
2008-06-30,
2008-07-01,3.7393
2008-07-02,3.7391
2008-07-03,3.7391
2008-07-06,3.7396
2008-07-07,3.7395
2008-07-08,3.7391
2008-07-09,3.7391
2008-07-10,3.7391
2008-07-13,3.74
2008-07-14,3.7386
2008-07-15,3.74
2008-07-16,3.739
2008-07-17,3.7391
2008-07-20,3.74
2008-07-21,3.74
2008-07-22,3.74
2008-07-23,3.7491
2008-07-24,3.7485
2008-07-27,3.7499
2008-07-28,3.7389
2008-07-29,3.74
2008-07-30,3.7499
2008-07-31,
2008-08-03,
2008-08-04,
2008-08-05,
2008-08-06,
2008-08-07,
2008-08-10,
2008-08-11,
2008-08-12,
2008-08-13,
2008-08-14,
2008-08-17,
2008-08-18,
2008-08-19,
2008-08-20,
2008-08-21,
2008-08-24,
2008-08-25,3.7499
2008-08-26,3.74
2008-08-27,3.7389
2008-08-28,3.7274
2008-08-31,3.7499
2008-09-01,3.7392
2008-09-02,3.74
2008-09-03,3.7499
2008-09-04,3.7394
2008-09-07,3.7498
2008-09-08,3.7499
2008-09-09,3.7498
2008-09-10,3.7498
2008-09-11,3.7391
2008-09-14,3.74
2008-09-15,3.7508
2008-09-16,3.74
2008-09-17,3.7399
2008-09-18,3.7493
2008-09-21,3.7499
2008-09-22,3.7387
2008-09-23,3.74
2008-09-24,3.7385
2008-09-25,3.7412
2008-09-28,3.7591
2008-09-29,3.74
2008-09-30,3.74
2008-10-01,3.757
2008-10-02,3.7391
2008-10-05,3.762
2008-10-06,3.7696
2008-10-07,3.7695
2008-10-08,3.7595
2008-10-09,3.7723
2008-10-12,3.7396
2008-10-13,3.7378
2008-10-14,3.74
2008-10-15,3.7391
2008-10-16,3.7413
2008-10-19,3.74
2008-10-20,3.7399
2008-10-21,3.74
2008-10-22,3.7388
2008-10-23,3.7466
2008-10-27,3.74
2008-10-28,3.7408
2008-10-29,3.74
2008-10-30,3.7389
2008-10-31,3.7384
2008-11-03,3.7384
2008-11-04,3.74
2008-11-05,3.74
2008-11-06,3.7395
2008-11-07,3.7391
2008-11-10,3.74
2008-11-11,3.7501
2008-11-12,3.74
2008-11-13,3.751
2008-11-14,3.7387
2008-11-17,3.7511
2008-11-18,3.7511
2008-11-19,3.7511
2008-11-20,3.7384
2008-11-21,3.7391
2008-11-24,3.7388
2008-11-25,3.751
2008-11-26,3.751
2008-11-27,3.7393
2008-11-28,3.7515
2008-12-01,3.751
2008-12-02,3.74
2008-12-03,3.74
2008-12-04,3.7387
2008-12-05,3.7452
2008-12-08,3.751
2008-12-09,3.7511
2008-12-10,3.7511
2008-12-11,3.7511
2008-12-12,3.7203
2008-12-15,3.751
2008-12-16,3.74
2008-12-17,3.74
2008-12-18,3.751
2008-12-19,3.7391
2008-12-22,3.74
2008-12-23,3.74
2008-12-24,3.74
2008-12-25,3.7392
2008-12-26,3.7682
2008-12-29,3.738
2008-12-30,3.739
2008-12-31,3.7526
2009-01-01,3.7525
2009-01-02,3.7357
2009-01-05,3.7526
2009-01-06,3.7385
2009-01-07,3.7506
2009-01-08,3.7501
2009-01-09,3.7507
2009-01-12,3.74
2009-01-13,3.74
2009-01-14,3.7382
2009-01-15,3.7501
2009-01-16,3.7391
2009-01-19,3.7501
2009-01-20,3.74
2009-01-21,3.75
2009-01-22,3.739
2009-01-23,3.7138
2009-01-26,3.74
2009-01-27,3.7515
2009-01-28,3.74
2009-01-29,3.752
2009-01-30,3.7758
2009-02-02,3.74
2009-02-03,3.74
2009-02-04,3.7504
2009-02-05,3.7391
2009-02-06,3.7391
2009-02-09,3.7504
2009-02-10,3.7502
2009-02-11,3.7504
2009-02-12,3.7503
2009-02-13,3.7688
2009-02-16,3.7502
2009-02-17,3.7503
2009-02-18,3.75
2009-02-19,3.75
2009-02-20,3.7106
2009-02-23,3.7395
2009-02-24,3.7499
2009-02-25,3.7499
2009-02-26,3.7499
2009-02-27,3.7287
2009-03-02,3.74
2009-03-03,3.7401
2009-03-04,3.75
2009-03-05,3.7502
2009-03-06,3.7391
2009-03-09,3.74
2009-03-10,3.7501
2009-03-11,3.7389
2009-03-12,3.75
2009-03-13,3.7391
2009-03-16,3.7501
2009-03-17,3.7498
2009-03-18,3.7499
2009-03-19,3.7497
2009-03-20,3.7378
2009-03-23,3.7497
2009-03-24,3.738
2009-03-25,3.7396
2009-03-26,3.7499
2009-03-27,3.7392
2009-03-29,3.7397
2009-03-30,3.7393
2009-03-31,3.7497
2009-04-01,3.7501
2009-04-02,3.7392
2009-04-05,3.7497
2009-04-06,3.75
2009-04-07,3.7498
2009-04-08,3.7498
2009-04-09,3.7395
2009-04-12,3.7499
2009-04-13,3.7499
2009-04-14,3.7499
2009-04-15,3.7499
2009-04-16,3.7392
2009-04-19,3.7496
2009-04-20,3.7403
2009-04-21,3.7499
2009-04-22,3.7388
2009-04-23,3.7392
2009-04-26,3.7495
2009-04-27,3.74
2009-04-28,3.75
2009-04-29,3.74
2009-04-30,3.7395
2009-05-03,3.7498
2009-05-04,3.739
2009-05-05,3.7496
2009-05-06,3.7392
2009-05-07,3.7392
2009-05-10,3.7496
2009-05-11,3.7406
2009-05-12,3.7391
2009-05-13,3.7496
2009-05-14,3.7392
2009-05-17,3.7496
2009-05-18,3.7407
2009-05-19,3.7496
2009-05-20,3.7497
2009-05-21,3.7395
2009-05-24,3.7496
2009-05-25,3.74
2009-05-26,3.7396
2009-05-27,3.7497
2009-05-28,3.7393
2009-05-31,3.74
2009-06-01,3.7496
2009-06-02,3.7496
2009-06-03,3.7496
2009-06-04,3.7392
2009-06-07,3.7498
2009-06-08,3.7402
2009-06-09,3.739
2009-06-10,3.7497
2009-06-11,3.7393
2009-06-14,3.7497
2009-06-15,3.7497
2009-06-16,3.7398
2009-06-17,3.7397
2009-06-18,3.7393
2009-06-21,3.7498
2009-06-22,3.7375
2009-06-23,3.75
2009-06-24,3.7498
2009-06-25,3.7319
2009-06-28,3.7497
2009-06-29,3.7388
2009-06-30,3.7497
2009-07-01,3.7499
2009-07-02,3.7393
2009-07-05,3.75
2009-07-06,3.7389
2009-07-07,3.7499
2009-07-08,3.75
2009-07-09,3.7393
2009-07-12,3.74
2009-07-13,3.74
2009-07-14,3.7498
2009-07-15,3.7497
2009-07-16,3.741
2009-07-19,3.7498
2009-07-20,3.7392
2009-07-21,3.7498
2009-07-22,3.7397
2009-07-23,3.7392
2009-07-26,3.7397
2009-07-27,3.7384
2009-07-28,3.7388
2009-07-29,3.7391
2009-07-30,3.7218
2009-08-02,3.7498
2009-08-03,3.7498
2009-08-04,3.7391
2009-08-05,3.7394
2009-08-06,3.7393
2009-08-09,3.7497
2009-08-10,3.7393
2009-08-11,3.7393
2009-08-12,3.739
2009-08-13,3.7392
2009-08-16,3.7395
2009-08-17,3.7393
2009-08-18,3.7498
2009-08-19,3.7397
2009-08-20,3.7393
2009-08-23,3.7391
2009-08-24,3.7498
2009-08-25,3.7497
2009-08-26,3.7394
2009-08-27,3.7497
2009-08-30,3.74
2009-08-31,3.7391
2009-09-01,3.7385
2009-09-02,3.7393
2009-09-03,3.7396
2009-09-06,3.7395
2009-09-07,3.7498
2009-09-08,3.7397
2009-09-09,3.7497
2009-09-10,3.7393
2009-09-13,3.7393
2009-09-14,3.7392
2009-09-15,3.7392
2009-09-16,3.7392
2009-09-17,3.7498
2009-09-20,3.7498
2009-09-21,3.7392
2009-09-22,3.7497
2009-09-23,3.7498
2009-09-24,3.7497
2009-09-27,3.7497
2009-09-28,3.7498
2009-09-29,3.7497
2009-09-30,3.7497
2009-10-01,3.7497
2009-10-04,3.7497
2009-10-05,3.7497
2009-10-06,3.7497
2009-10-07,3.7497
2009-10-08,3.7498
2009-10-11,3.7497
2009-10-12,3.7498
2009-10-13,3.7498
2009-10-14,3.7496
2009-10-15,3.7497
2009-10-18,3.7497
2009-10-19,3.7498
2009-10-20,3.7496
2009-10-21,3.7497
2009-10-22,3.7495
2009-10-26,3.7498
2009-10-27,3.7498
2009-10-28,3.7498
2009-10-29,3.7496
2009-10-30,3.7496
2009-11-02,3.7495
2009-11-03,3.7495
2009-11-04,3.7496
2009-11-05,3.7499
2009-11-06,3.7498
2009-11-09,3.7497
2009-11-10,3.7496
2009-11-11,3.75
2009-11-12,3.7501
2009-11-13,3.7498
2009-11-16,3.7498
2009-11-17,3.7497
2009-11-18,3.7497
2009-11-19,3.7496
2009-11-20,3.75
2009-11-23,3.7498
2009-11-24,3.7497
2009-11-25,3.7501
2009-11-26,3.7496
2009-11-27,3.7496
2009-11-30,3.7497
2009-12-01,3.7511
2009-12-02,3.7511
2009-12-03,3.7501
2009-12-04,3.7501
2009-12-07,3.75
2009-12-08,3.7493
2009-12-09,3.7498
2009-12-10,3.7454
2009-12-11,3.7505
2009-12-14,3.7499
2009-12-15,3.7507
2009-12-16,3.7499
2009-12-17,3.7504
2009-12-18,3.7498
2009-12-21,3.749
2009-12-22,3.7501
2009-12-23,3.7501
2009-12-24,3.7502
2009-12-25,3.7502
2009-12-28,3.7505
2009-12-29,3.7513
2009-12-30,3.7503
2009-12-31,3.7505
2010-01-01,
2010-01-04,3.6923
2010-01-05,3.7507
2010-01-06,3.7501
2010-01-07,3.7496
2010-01-08,3.7498
2010-01-11,3.7495
2010-01-12,3.7498
2010-01-13,3.7498
2010-01-14,3.7496
2010-01-15,3.7488
2010-01-18,3.7496
2010-01-19,3.75
2010-01-20,3.7458
2010-01-21,3.7456
2010-01-22,3.7378
2010-01-25,3.7496
2010-01-26,3.7496
2010-01-27,3.7457
2010-01-28,3.7496
2010-01-29,3.7497
2010-02-01,3.7497
2010-02-02,3.7501
2010-02-03,3.7496
2010-02-04,3.7498
2010-02-05,3.7493
2010-02-08,3.7498
2010-02-09,3.7497
2010-02-10,3.7492
2010-02-11,3.7501
2010-02-12,3.7493
2010-02-15,3.7496
2010-02-16,3.7501
2010-02-17,3.7492
2010-02-18,3.7496
2010-02-19,3.7501
2010-02-22,3.75
2010-02-23,3.7498
2010-02-24,3.7498
2010-02-25,3.7498
2010-02-26,3.75
2010-03-01,3.7497
2010-03-02,3.7496
2010-03-03,3.7496
2010-03-04,3.7497
2010-03-05,3.7496
2010-03-08,3.7495
2010-03-09,3.7496
2010-03-10,3.7497
2010-03-11,3.7496
2010-03-12,3.7496
2010-03-15,3.7497
2010-03-16,3.75
2010-03-17,3.7496
2010-03-18,3.7497
2010-03-19,3.7497
2010-03-22,3.7495
2010-03-23,3.7495
2010-03-24,3.7497
2010-03-25,3.7496
2010-03-26,3.7497
2010-03-28,3.7497
2010-03-29,3.7497
2010-03-30,3.7497
2010-03-31,3.7496
2010-04-01,3.7497
2010-04-04,3.7495
2010-04-05,3.7496
2010-04-06,3.7497
2010-04-07,3.7497
2010-04-08,3.7498
2010-04-11,3.7498
2010-04-12,3.75
2010-04-13,3.7498
2010-04-14,3.7496
2010-04-15,3.7497
2010-04-18,3.7497
2010-04-19,3.7496
2010-04-20,3.7497
2010-04-21,3.7497
2010-04-22,3.7497
2010-04-25,3.7496
2010-04-26,3.7498
2010-04-27,3.75
2010-04-28,3.7497
2010-04-29,3.75
2010-05-02,3.7498
2010-05-03,3.75
2010-05-04,3.75
2010-05-05,3.7496
2010-05-06,3.7497
2010-05-09,3.7498
2010-05-10,3.7498
2010-05-11,3.7498
2010-05-12,3.7502
2010-05-13,3.7497
2010-05-16,3.7498
2010-05-17,3.7498
2010-05-18,3.7497
2010-05-19,3.7498
2010-05-20,3.7493
2010-05-23,3.7498
2010-05-24,3.7496
2010-05-25,3.7497
2010-05-26,3.75
2010-05-27,3.7501
2010-05-30,3.7497
2010-05-31,3.7497
2010-06-01,3.7498
2010-06-02,3.7498
2010-06-03,3.7493
2010-06-06,3.7493
2010-06-07,3.7498
2010-06-08,3.7498
2010-06-09,3.7498
2010-06-10,3.7497
2010-06-13,3.7499
2010-06-14,3.7497
2010-06-15,3.7497
2010-06-16,3.7503
2010-06-17,3.7503
2010-06-20,3.7497
2010-06-21,3.75
2010-06-22,3.7498
2010-06-23,3.7176
2010-06-24,3.7497
2010-06-27,3.7499
2010-06-28,3.75
2010-06-29,3.7499
2010-06-30,3.7497
2010-07-01,3.75
2010-07-04,3.7492
2010-07-05,3.7492
2010-07-06,3.7502
2010-07-07,3.7501
2010-07-08,3.7493
2010-07-11,3.7497
2010-07-12,3.7492
2010-07-13,3.7504
2010-07-14,3.7499
2010-07-15,3.7499
2010-07-18,3.7498
2010-07-19,3.7497
2010-07-20,3.75
2010-07-21,3.7498
2010-07-22,3.7499
2010-07-25,3.7498
2010-07-26,3.7496
2010-07-27,3.7497
2010-07-28,3.7497
2010-07-29,3.7497
2010-08-01,3.7496
2010-08-02,3.7497
2010-08-03,3.7497
2010-08-04,3.7497
2010-08-05,3.7498
2010-08-08,3.75
2010-08-09,3.7498
2010-08-10,3.7497
2010-08-11,3.7499
2010-08-12,3.7497
2010-08-15,3.7501
2010-08-16,3.7496
2010-08-17,3.7498
2010-08-18,3.7498
2010-08-19,3.7501
2010-08-22,3.7496
2010-08-23,3.7672
2010-08-24,3.7495
2010-08-25,3.7499
2010-08-26,3.7498
2010-08-29,3.7497
2010-08-30,3.7497
2010-08-31,3.7497
2010-09-01,3.7497
2010-09-02,3.7497
2010-09-05,3.7497
2010-09-06,3.7499
2010-09-07,3.7493
2010-09-08,3.7501
2010-09-09,3.7498
2010-09-12,3.7498
2010-09-13,3.7493
2010-09-14,3.7498
2010-09-15,3.7498
2010-09-16,3.7499
2010-09-19,3.7498
2010-09-20,3.7502
2010-09-21,3.7498
2010-09-22,3.7501
2010-09-23,3.7502
2010-09-26,3.7499
2010-09-27,3.7488
2010-09-28,3.7499
2010-09-29,3.7502
2010-09-30,3.7499
2010-10-03,3.7498
2010-10-04,3.7497
2010-10-05,3.7498
2010-10-06,3.7499
2010-10-07,3.75
2010-10-10,3.7498
2010-10-11,3.7498
2010-10-12,3.7495
2010-10-13,3.7495
2010-10-14,3.7496
2010-10-17,3.7496
2010-10-18,3.7495
2010-10-19,3.7496
2010-10-20,3.7496
2010-10-21,3.7497
2010-10-24,3.7497
2010-10-25,3.7497
2010-10-26,3.7497
2010-10-27,3.7497
2010-10-28,3.7497
2010-11-01,3.7497
2010-11-02,3.7497
2010-11-03,3.7497
2010-11-04,3.7497
2010-11-05,3.7495
2010-11-08,3.7493
2010-11-09,3.75
2010-11-10,3.75
2010-11-11,3.75
2010-11-12,3.75
2010-11-15,3.7493
2010-11-16,3.7499
2010-11-17,3.7427
2010-11-18,3.75
2010-11-19,3.75
2010-11-22,3.7497
2010-11-23,3.7476
2010-11-24,3.7493
2010-11-25,3.7493
2010-11-26,3.7502
2010-11-29,3.7493
2010-11-30,3.7497
2010-12-01,3.7501
2010-12-02,3.7501
2010-12-03,3.75
2010-12-06,3.7501
2010-12-07,3.75
2010-12-08,3.75
2010-12-09,3.7501
2010-12-10,3.7501
2010-12-13,3.75
2010-12-14,3.7501
2010-12-15,3.75
2010-12-16,3.7497
2010-12-17,3.7498
2010-12-20,3.7497
2010-12-21,3.7496
2010-12-22,3.7496
2010-12-23,3.7496
2010-12-24,3.7493
2010-12-27,3.7493
2010-12-28,3.7497
2010-12-29,3.7497
2010-12-30,3.75
2010-12-31,3.7501
2011-01-03,3.7498
2011-01-04,3.7497
2011-01-05,3.7497
2011-01-06,3.7496
2011-01-07,3.7497
2011-01-10,3.7496
2011-01-11,3.7496
2011-01-12,3.7496
2011-01-13,3.7497
2011-01-14,3.7497
2011-01-17,3.7496
2011-01-18,3.7496
2011-01-19,3.7496
2011-01-20,3.7496
2011-01-21,3.7496
2011-01-24,3.7497
2011-01-25,3.7501
2011-01-26,3.75
2011-01-27,3.7496
2011-01-28,3.7496
2011-01-31,3.75
2011-02-01,3.7502
2011-02-02,3.7498
2011-02-03,3.7498
2011-02-04,3.7498
2011-02-07,3.7498
2011-02-08,3.7497
2011-02-09,3.7497
2011-02-10,3.7498
2011-02-11,3.7498
2011-02-14,3.75
2011-02-15,3.7497
2011-02-16,3.7497
2011-02-17,3.7497
2011-02-18,3.7497
2011-02-21,3.7498
2011-02-22,3.7496
2011-02-23,3.75
2011-02-24,3.75
2011-02-25,3.7501
2011-02-28,3.7496
2011-03-01,3.7501
2011-03-02,3.7498
2011-03-03,3.7501
2011-03-04,3.75
2011-03-07,3.75
2011-03-08,3.7499
2011-03-09,3.7496
2011-03-10,3.7497
2011-03-11,3.7496
2011-03-14,3.7496
2011-03-15,3.7497
2011-03-16,3.7498
2011-03-17,3.7499
2011-03-18,3.7498
2011-03-21,3.7499
2011-03-22,3.7496
2011-03-23,3.7497
2011-03-24,3.7497
2011-03-25,3.7497
2011-03-27,3.7497
2011-03-28,3.7498
2011-03-29,3.7498
2011-03-30,3.7498
2011-03-31,3.7497
2011-04-03,3.7496
2011-04-04,3.7497
2011-04-05,3.7496
2011-04-06,3.7496
2011-04-07,3.7497
2011-04-10,3.7497
2011-04-11,3.7497
2011-04-12,3.7496
2011-04-13,3.7497
2011-04-14,
2011-04-17,3.7496
2011-04-18,3.7491
2011-04-19,3.7498
2011-04-20,3.7498
2011-04-21,3.7493
2011-04-24,3.7498
2011-04-25,3.75
2011-04-26,3.7497
2011-04-27,3.7498
2011-04-28,3.7497
2011-05-01,3.7493
2011-05-02,3.7497
2011-05-03,3.7498
2011-05-04,3.7498
2011-05-05,3.7498
2011-05-08,3.7498
2011-05-09,3.7498
2011-05-10,3.7497
2011-05-11,3.7496
2011-05-12,3.7497
2011-05-15,3.7498
2011-05-16,3.7497
2011-05-17,3.7497
2011-05-18,3.7496
2011-05-19,3.7496
2011-05-22,3.7497
2011-05-23,3.7496
2011-05-24,3.7497
2011-05-25,3.7497
2011-05-26,3.7496
2011-05-29,3.7497
2011-05-30,3.746
2011-05-31,3.75
2011-06-01,3.7496
2011-06-02,3.7496
2011-06-05,3.7497
2011-06-06,3.7496
2011-06-07,3.7496
2011-06-08,3.7496
2011-06-09,3.7496
2011-06-12,3.7497
2011-06-13,3.7496
2011-06-14,3.7496
2011-06-15,3.7497
2011-06-16,3.7497
2011-06-19,3.7498
2011-06-20,3.75
2011-06-21,3.7496
2011-06-22,3.7497
2011-06-23,3.7498
2011-06-26,3.7499
2011-06-27,3.7498
2011-06-28,3.7493
2011-06-29,3.7494
2011-06-30,3.7502
2011-07-03,3.7496
2011-07-04,3.7469
2011-07-05,3.7498
2011-07-06,3.7497
2011-07-07,3.7493
2011-07-10,3.7497
2011-07-11,3.75
2011-07-12,3.7496
2011-07-13,3.7501
2011-07-14,3.7501
2011-07-17,3.7496
2011-07-18,3.75
2011-07-19,3.7498
2011-07-20,3.7498
2011-07-21,3.7498
2011-07-24,3.7497
2011-07-25,3.7497
2011-07-26,3.7497
2011-07-27,3.7496
2011-07-28,3.7497
2011-07-31,3.7497
2011-08-01,3.7496
2011-08-02,3.7497
2011-08-03,3.7496
2011-08-04,3.7497
2011-08-07,3.7497
2011-08-08,3.7497
2011-08-09,3.7498
2011-08-10,3.7497
2011-08-11,3.7497
2011-08-14,3.7497
2011-08-15,3.7496
2011-08-16,3.7496
2011-08-17,3.7497
2011-08-18,3.75
2011-08-21,3.7496
2011-08-22,3.7498
2011-08-23,3.7502
2011-08-24,3.75
2011-08-25,3.7503
2011-08-28,3.7496
2011-08-29,3.75
2011-08-30,3.7501
2011-08-31,3.7503
2011-09-01,3.7503
2011-09-04,3.7499
2011-09-05,3.75
2011-09-06,3.7499
2011-09-07,3.7501
2011-09-08,3.75
2011-09-11,3.75
2011-09-12,3.75
2011-09-13,3.7503
2011-09-14,3.75
2011-09-15,3.7501
2011-09-18,3.7501
2011-09-19,3.7499
2011-09-20,3.75
2011-09-21,3.75
2011-09-22,3.7501
2011-09-25,3.7501
2011-09-26,3.75
2011-09-27,3.7501
2011-09-28,3.7498
2011-09-29,3.7499
2011-10-02,3.7499
2011-10-03,3.7498
2011-10-04,3.7499
2011-10-05,3.7498
2011-10-06,3.7499
2011-10-09,3.7499
2011-10-10,3.75
2011-10-11,3.7498
2011-10-12,3.7503
2011-10-13,3.7499
2011-10-16,3.7497
2011-10-17,3.7498
2011-10-18,3.7499
2011-10-19,3.7499
2011-10-20,3.7498
2011-10-23,3.7499
2011-10-24,3.7499
2011-10-25,3.7499
2011-10-26,3.7496
2011-10-27,3.7498
2011-10-31,3.7496
2011-11-01,3.7497
2011-11-02,3.7497
2011-11-03,3.7498
2011-11-04,3.7498
2011-11-07,3.7498
2011-11-08,3.7498
2011-11-09,3.7498
2011-11-10,3.7498
2011-11-11,3.7498
2011-11-14,3.7499
2011-11-15,3.7498
2011-11-16,3.7501
2011-11-17,3.75
2011-11-18,3.7499
2011-11-21,3.7498
2011-11-22,3.7499
2011-11-23,3.7498
2011-11-24,3.7497
2011-11-25,3.7497
2011-11-28,3.7499
2011-11-29,3.7498
2011-11-30,3.7499
2011-12-01,3.7498
2011-12-02,3.7499
2011-12-05,3.7498
2011-12-06,3.7499
2011-12-07,3.7498
2011-12-08,3.7499
2011-12-09,3.7501
2011-12-12,3.7499
2011-12-13,3.7499
2011-12-14,3.7501
2011-12-15,3.7501
2011-12-16,3.7499
2011-12-19,3.7406
2011-12-20,3.7501
2011-12-21,3.7502
2011-12-22,3.7461
2011-12-23,3.75
2011-12-26,3.7447
2011-12-27,3.7447
2011-12-28,3.7501
2011-12-29,3.7501
2011-12-30,3.7501
2012-01-02,3.7494
2012-01-03,3.746
2012-01-04,3.7501
2012-01-05,3.7463
2012-01-06,3.75
2012-01-09,3.7491
2012-01-10,3.7501
2012-01-11,3.7501
2012-01-12,3.7501
2012-01-13,3.7497
2012-01-16,3.7476
2012-01-17,3.7465
2012-01-18,3.75
2012-01-19,3.75
2012-01-20,3.7497
2012-01-23,3.7461
2012-01-24,3.75
2012-01-25,3.7501
2012-01-26,3.7501
2012-01-27,3.7499
2012-01-30,3.7499
2012-01-31,3.7499
2012-02-01,3.7497
2012-02-02,3.7497
2012-02-03,3.7501
2012-02-06,3.7497
2012-02-07,3.7497
2012-02-08,3.7497
2012-02-09,3.7497
2012-02-10,3.7499
2012-02-13,3.7466
2012-02-14,3.7499
2012-02-15,3.7497
2012-02-16,3.7496
2012-02-17,3.7468
2012-02-20,3.7459
2012-02-21,3.7498
2012-02-22,3.7497
2012-02-23,3.7499
2012-02-24,3.7498
2012-02-27,3.75
2012-02-28,3.7497
2012-02-29,3.7498
2012-03-01,3.7498
2012-03-02,3.75
2012-03-05,3.7499
2012-03-06,3.75
2012-03-07,3.75
2012-03-08,3.7497
2012-03-09,3.75
2012-03-12,3.7499
2012-03-13,3.7499
2012-03-14,3.75
2012-03-15,3.75
2012-03-16,3.75
2012-03-19,3.75
2012-03-20,3.7499
2012-03-21,3.75
2012-03-22,3.7499
2012-03-23,3.7499
2012-03-25,3.7498
2012-03-26,3.7498
2012-03-27,3.7499
2012-03-28,3.7499
2012-03-29,3.7463
2012-04-01,3.7464
2012-04-02,3.7466
2012-04-03,3.7499
2012-04-04,3.7499
2012-04-05,3.7499
2012-04-08,3.7376
2012-04-09,3.7497
2012-04-10,3.7463
2012-04-11,3.7464
2012-04-12,3.7465
2012-04-15,3.7457
2012-04-16,3.7462
2012-04-17,3.7497
2012-04-18,3.747
2012-04-19,3.7464
2012-04-22,3.7498
2012-04-23,3.7497
2012-04-24,3.7462
2012-04-25,3.7465
2012-04-26,3.7464
2012-04-29,3.7497
2012-04-30,3.7498
2012-05-01,3.7498
2012-05-02,3.7498
2012-05-03,3.7497
2012-05-06,3.7498
2012-05-07,3.7498
2012-05-08,3.7464
2012-05-09,3.7497
2012-05-10,3.7498
2012-05-13,3.7497
2012-05-14,3.7498
2012-05-15,3.7498
2012-05-16,3.7468
2012-05-17,3.7498
2012-05-20,3.7498
2012-05-21,3.7497
2012-05-22,3.7497
2012-05-23,3.7498
2012-05-24,3.7462
2012-05-27,3.7464
2012-05-28,3.7497
2012-05-29,3.7461
2012-05-30,3.7498
2012-05-31,3.7498
2012-06-03,3.7498
2012-06-04,3.7498
2012-06-05,3.7463
2012-06-06,3.75
2012-06-07,3.75
2012-06-10,3.75
2012-06-11,3.75
2012-06-12,3.7462
2012-06-13,3.7465
2012-06-14,3.7463
2012-06-17,3.75
2012-06-18,3.7468
2012-06-19,3.7466
2012-06-20,3.7466
2012-06-21,3.7462
2012-06-24,3.7459
2012-06-25,3.7463
2012-06-26,3.7461
2012-06-27,3.7497
2012-06-28,3.7462
2012-07-01,3.746
2012-07-02,3.7463
2012-07-03,3.7497
2012-07-04,3.7497
2012-07-05,3.7497
2012-07-08,3.7497
2012-07-09,3.7497
2012-07-10,3.7496
2012-07-11,3.7496
2012-07-12,3.7497
2012-07-15,3.7497
2012-07-16,3.7462
2012-07-17,3.7463
2012-07-18,3.746
2012-07-19,3.746
2012-07-22,3.7465
2012-07-23,3.7497
2012-07-24,3.7462
2012-07-25,3.746
2012-07-26,3.746
2012-07-29,3.7463
2012-07-30,3.7459
2012-07-31,3.7463
2012-08-01,3.7459
2012-08-02,3.7465
2012-08-05,3.7497
2012-08-06,3.7463
2012-08-07,3.7497
2012-08-08,3.7462
2012-08-09,3.7496
2012-08-12,3.7498
2012-08-13,3.746
2012-08-14,3.7461
2012-08-15,3.7496
2012-08-16,3.7462
2012-08-19,3.7471
2012-08-20,3.7462
2012-08-21,3.7458
2012-08-22,3.7498
2012-08-23,3.7458
2012-08-26,3.7467
2012-08-27,3.746
2012-08-28,3.7462
2012-08-29,3.7461
2012-08-30,3.7464
2012-09-02,3.7453
2012-09-03,3.7462
2012-09-04,3.7462
2012-09-05,3.7496
2012-09-06,3.7497
2012-09-09,3.7497
2012-09-10,3.7462
2012-09-11,3.7498
2012-09-12,3.7462
2012-09-13,3.7464
2012-09-16,3.7465
2012-09-17,3.7462
2012-09-18,3.7463
2012-09-19,3.7462
2012-09-20,3.7462
2012-09-23,3.7473
2012-09-24,3.7464
2012-09-25,3.7462
2012-09-26,3.7462
2012-09-27,3.7462
2012-09-30,3.7455
2012-10-01,3.7465
2012-10-02,3.7461
2012-10-03,3.7466
2012-10-04,3.7495
2012-10-07,3.7453
2012-10-08,3.7497
2012-10-09,3.7497
2012-10-10,3.7461
2012-10-11,3.7464
2012-10-14,3.7496
2012-10-15,3.7461
2012-10-16,3.7459
2012-10-17,3.7466
2012-10-18,3.7462
2012-10-21,3.7457
2012-10-22,3.7465
2012-10-23,3.7463
2012-10-24,3.746
2012-10-25,3.746
2012-10-29,3.7496
2012-10-30,3.7498
2012-10-31,3.7464
2012-11-01,3.7464
2012-11-02,3.7462
2012-11-05,3.7464
2012-11-06,3.7498
2012-11-07,3.7498
2012-11-08,3.7464
2012-11-09,3.7461
2012-11-12,3.7497
2012-11-13,3.7466
2012-11-14,3.7466
2012-11-15,3.7459
2012-11-16,3.7464
2012-11-19,3.7456
2012-11-20,3.7497
2012-11-21,3.7462
2012-11-22,3.7464
2012-11-23,3.7464
2012-11-26,3.746
2012-11-27,3.7465
2012-11-28,3.7456
2012-11-29,3.7463
2012-11-30,3.7464
2012-12-03,3.7467
2012-12-04,3.7462
2012-12-05,3.7469
2012-12-06,3.7467
2012-12-07,3.7461
2012-12-10,3.7468
2012-12-11,3.7462
2012-12-12,3.7462
2012-12-13,3.7462
2012-12-14,3.7465
2012-12-17,3.6728
2012-12-18,3.7462
2012-12-19,3.7466
2012-12-20,3.7462
2012-12-21,3.7464
2012-12-24,3.7498
2012-12-25,3.7463
2012-12-26,3.7456
2012-12-27,3.7464
2012-12-28,3.7467
2012-12-31,3.7467
